"","Xmol","SFR"
"1",0.0001210175,1
"2",2.3262039e-05,0
"3",1.9713506e-05,0
"4",1.7206953e-05,0
"5",5.1687543e-05,0
"6",3.644979e-05,0
"7",3.0326594e-05,0
"8",1.9965119e-05,0
"9",1.9423277e-05,0
"10",2.4267049e-05,0
"11",1.7150586e-05,0
"12",1.9637212e-05,0
"13",1.8590448e-05,0
"14",2.2944909e-05,0
"15",1.3973581e-05,0
"16",1.5113883e-05,0
"17",1.2205065e-05,0
"18",1.9095904e-05,0
"19",2.6542181e-05,0
"20",1.7130976e-05,0
"21",2.2732394e-05,0
"22",1.8203632e-05,0
"23",1.7236822e-05,0
"24",2.2653681e-05,0
"25",1.7707558e-05,0
"26",2.0592562e-05,0
"27",1.676347e-05,0
"28",0.00042860737,1
"29",3.0725422e-05,0
"30",2.2861075e-05,0
"31",7.6200779e-05,0
"32",1.9297976e-05,0
"33",4.1517073e-05,0
"34",3.533791e-05,0
"35",1.2767344e-05,0
"36",2.1899694e-05,0
"37",1.9623809e-05,0
"38",2.7798004e-05,0
"39",2.2616326e-05,0
"40",2.2177873e-05,0
"41",1.9391719e-05,0
"42",1.7103708e-05,0
"43",2.9617673e-05,0
"44",1.9704655e-05,0
"45",1.6477065e-05,0
"46",2.4078484e-05,0
"47",1.6559266e-05,0
"48",2.3084438e-05,0
"49",1.2555404e-05,0
"50",2.240782e-05,0
"51",2.6635647e-05,0
"52",1.5553792e-05,0
"53",1.8803251e-05,0
"54",1.9343006e-05,0
"55",1.4331105e-05,0
"56",1.4946612e-05,0
"57",1.4478232e-05,0
"58",1.6448317e-05,0
"59",1.7228689e-05,0
"60",1.3824948e-05,0
"61",1.9467091e-05,0
"62",1.0238713e-05,0
"63",1.7568846e-05,0
"64",1.1696141e-05,0
"65",1.7622224e-05,0
"66",1.8616306e-05,0
"67",1.3123737e-05,0
"68",2.438007e-05,0
"69",4.1081253e-05,0
"70",0.00081285046,1
"71",4.9074998e-05,0
"72",0.00017355235,1
"73",2.3635269e-05,0
"74",4.7055565e-05,0
"75",2.4106368e-05,0
"76",1.5853032e-05,0
"77",2.1474173e-05,0
